날짜,금액,소분류,업종코드,대분류,중분류
2023.1.17,-23900,온라인거래,ss068,전자상거래,전자상거래
2023.1.16,-3000,편의점,ss016,유통,편의점
2023.1.16,-2000,생활잡화,ss015,유통,할인점/슈퍼마켓
2023.1.15,-10800,온라인거래,ss068,전자상거래,전자상거래
2023.1.13,-52060,슈퍼마켓,ss014,유통,할인점/슈퍼마켓
2023.1.12,-9000,한식,ss001,요식/유흥,한식
2023.1.12,-5800,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.1.12,-1000,편의점,ss016,유통,편의점
2023.1.11,-6300,온라인거래,ss068,전자상거래,전자상거래
2023.1.10,-17000,온라인거래,ss068,전자상거래,전자상거래
2023.1.9,-1500,편의점,ss016,유통,편의점
2024.1.8,-9000,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2024.1.7,-11780,슈퍼마켓,ss014,유통,할인점/슈퍼마켓
2024.1.7,-11500,제과점,ss005,요식/유흥,제과/커피/패스트푸드
2024.1.7,-10000,정육점,ss018,음/식료품,음/식료품
2024.1.5,-12000,제과점,ss005,요식/유흥,제과/커피/패스트푸드
2024.1.5,-3780,제과점,ss005,요식/유흥,제과/커피/패스트푸드
2024.1.5,-2500,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2024.1.5,-1600,편의점,ss016,유통,편의점
2024.1.3,-5000,한식,ss001,요식/유흥,한식
2024.1.3,-5000,한식,ss001,요식/유흥,한식
2024.1.3,-42000,한식,ss001,요식/유흥,한식
2024.1.3,-15500,한식,ss001,요식/유흥,한식
2024.1.2,-2500,생활잡화,ss015,유통,할인점/슈퍼마켓
2023.12.27,-27000,제과점,ss005,요식/유흥,제과/커피/패스트푸드
2023.12.27,-8500,한식,ss001,요식/유흥,한식
2023.12.26,-1900,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.12.25,-89000,한식,ss001,요식/유흥,한식
2023.12.25,-20000,한식,ss001,요식/유흥,한식
2023.12.25,-3000,노래방,ss009,요식/유흥,유흥
2023.12.24,-14000,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.12.21,-5000,취미/오락,ss030,스포츠/문화/레저,스포츠/문화/레저
2023.12.21,-5000,취미/오락,ss030,스포츠/문화/레저,스포츠/문화/레저
2023.12.21,-8400,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.12.21,-4990,온라인거래,ss068,전자상거래,전자상거래
2023.12.21,-1800,온라인거래,ss068,전자상거래,전자상거래
2023.12.20,-1800,온라인거래,ss068,전자상거래,전자상거래
2023.12.19,-1400,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.12.18,-10000,제과점,ss005,요식/유흥,제과/커피/패스트푸드
2023.12.18,-9000,한식,ss001,요식/유흥,한식
2023.12.18,-1800,온라인거래,ss068,전자상거래,전자상거래
2023.12.18,-1800,편의점,ss016,유통,편의점
2023.12.16,-18650,한식,ss001,요식/유흥,한식
2023.12.16,-6700,교통,ss040,여행/교통,교통
2023.12.16,-88700,한식,ss001,요식/유흥,한식
2023.12.15,-10500,생활잡화,ss015,유통,할인점/슈퍼마켓
2023.12.15,-2600,패스트푸드,ss007,요식/유흥,제과/커피/패스트푸드
2023.12.15,-1000,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.12.14,-30000,패션/잡화,ss022,의류/잡화,패션/잡화
